row,col,r,g,b,hex
1,18,251,221,145,#FBDD91
1,19,252,220,146,#FCDC92
1,20,255,224,148,#FFE094
1,21,229,199,140,#E5C78C
1,22,201,174,131,#C9AE83
1,23,204,178,132,#CCB284
1,24,202,180,132,#CAB484
1,25,198,176,131,#C6B083
1,26,222,196,138,#DEC48A
1,27,255,226,147,#FFE293
1,28,252,221,147,#FCDD93
1,29,254,220,146,#FEDC92
1,30,253,219,145,#FDDB91
1,31,255,221,146,#FFDD92
1,32,254,228,152,#FEE498
1,33,181,153,94,#B5995E
1,34,135,94,39,#875E27
1,35,145,102,47,#91662F
1,36,143,100,47,#8F642F
1,37,143,100,46,#8F642E
1,38,142,99,46,#8E632E
1,39,142,99,47,#8E632F
1,40,142,99,46,#8E632E
1,41,142,99,46,#8E632E
1,42,144,98,45,#90622D
1,43,141,98,45,#8D622D
1,44,137,94,41,#895E29
1,45,121,81,36,#795124
1,46,99,67,32,#634320
1,47,85,56,27,#55381B
2,0,107,73,38,#6B4926
2,1,118,79,43,#764F2B
2,2,129,89,48,#815930
2,3,126,86,48,#7E5630
2,4,115,76,42,#734C2A
2,5,109,76,40,#6D4C28
2,6,106,72,36,#6A4824
2,7,102,69,36,#664524
2,8,100,69,35,#644523
2,9,99,69,35,#634523
2,10,98,67,35,#624323
2,11,97,66,33,#614221
2,12,88,58,27,#583A1B
2,13,127,93,60,#7F5D3C
2,14,243,205,138,#F3CD8A
2,15,255,223,148,#FFDF94
2,16,252,220,145,#FCDC91
2,17,252,223,147,#FCDF93
2,18,254,225,148,#FEE194
2,19,255,222,147,#FFDE93
2,20,252,220,145,#FCDC91
2,21,222,196,135,#DEC487
2,22,200,175,131,#C8AF83
2,23,203,178,132,#CBB284
2,24,203,178,132,#CBB284
2,25,201,177,132,#C9B184
2,26,210,184,132,#D2B884
2,27,244,213,141,#F4D58D
2,28,248,219,143,#F8DB8F
2,29,255,222,147,#FFDE93
2,30,255,222,148,#FFDE94
2,31,255,220,146,#FFDC92
2,32,253,221,145,#FDDD91
2,33,255,230,154,#FFE69A
2,34,171,141,86,#AB8D56
2,35,140,97,42,#8C612A
2,36,149,106,49,#956A31
2,37,148,106,48,#946A30
2,38,146,104,47,#92682F
2,39,146,104,46,#92682E
2,40,147,104,47,#93682F
2,41,146,104,47,#92682F
2,42,147,103,47,#93672F
2,43,143,100,44,#8F642C
2,44,133,92,41,#855C29
2,45,113,75,36,#714B24
2,46,99,66,32,#634220
2,47,91,62,32,#5B3E20
3,0,114,78,41,#724E29
3,1,130,90,48,#825A30
3,2,141,99,48,#8D6330
3,3,139,97,49,#8B6131
3,4,125,85,43,#7D552B
3,5,122,85,45,#7A552D
3,6,116,79,41,#744F29
3,7,113,76,42,#714C2A
3,8,110,75,40,#6E4B28
3,9,108,75,38,#6C4B26
3,10,106,73,37,#6A4925
3,11,101,69,35,#654523
3,12,98,67,37,#624325
3,13,198,158,106,#C69E6A
3,14,255,223,147,#FFDF93
3,15,254,219,146,#FEDB92
3,16,253,220,145,#FDDC91
3,17,248,218,142,#F8DA8E
3,18,235,206,137,#EBCE89
3,19,219,193,133,#DBC185
3,20,207,184,129,#CFB881
3,21,201,179,130,#C9B382
3,22,201,179,132,#C9B384
3,23,201,179,132,#C9B384
3,24,203,178,132,#CBB284
3,25,203,178,132,#CBB284
3,26,203,178,131,#CBB283
3,27,202,178,129,#CAB281
3,28,208,184,130,#D0B882
3,29,220,194,135,#DCC287
3,30,240,208,140,#F0D08C
3,31,252,220,146,#FCDC92
3,32,252,220,146,#FCDC92
3,33,255,223,147,#FFDF93
3,34,238,210,142,#EED28E
3,35,145,111,59,#916F3B
3,36,149,106,46,#956A2E
3,37,151,109,49,#976D31
3,38,150,108,49,#966C31
3,39,150,108,49,#966C31
3,40,151,109,49,#976D31
3,41,150,109,49,#966D31
3,42,150,108,50,#966C32
3,43,147,106,46,#936A2E
3,44,135,95,44,#875F2C
3,45,121,83,42,#79532A
3,46,121,84,41,#795429
3,47,120,85,42,#78552A
4,0,115,77,43,#734D2B
4,1,126,87,46,#7E572E
4,2,130,91,45,#825B2D
4,3,136,94,48,#885E30
4,4,133,92,46,#855C2E
4,5,123,84,43,#7B542B
4,6,121,81,44,#79512C
4,7,120,81,43,#78512B
4,8,117,80,43,#75502B
4,9,116,81,44,#74512C
4,10,116,80,44,#74502C
4,11,101,70,35,#654623
4,12,141,104,68,#8D6844
4,13,235,197,130,#EBC582
4,14,254,223,148,#FEDF94
4,15,254,219,146,#FEDB92
4,16,251,219,144,#FBDB90
4,17,212,187,131,#D4BB83
4,18,197,175,130,#C5AF82
4,19,199,177,132,#C7B184
4,20,200,178,132,#C8B284
4,21,201,179,132,#C9B384
4,22,201,179,132,#C9B384
4,23,201,179,132,#C9B384
4,24,201,179,132,#C9B384
4,25,201,179,132,#C9B384
4,26,201,179,132,#C9B384
4,27,201,179,133,#C9B385
4,28,200,178,133,#C8B285
4,29,196,174,129,#C4AE81
4,30,205,181,132,#CDB584
4,31,246,218,145,#F6DA91
4,32,254,222,146,#FEDE92
4,33,252,218,144,#FCDA90
4,34,255,229,152,#FFE598
4,35,187,156,101,#BB9C65
4,36,145,103,47,#91672F
4,37,155,114,54,#9B7236
4,38,154,112,53,#9A7035
4,39,153,112,53,#997035
4,40,153,112,52,#997034
4,41,154,112,51,#9A7033
4,42,154,112,52,#9A7034
4,43,152,111,51,#986F33
4,44,145,107,50,#916B32
4,45,143,102,50,#8F6632
4,46,149,107,50,#956B32
4,47,143,103,48,#8F6730
5,0,118,81,45,#76512D
5,1,130,89,46,#82592E
5,2,142,100,49,#8E6431
5,3,154,109,55,#9A6D37
5,4,149,105,51,#956933
5,5,134,94,47,#865E2F
5,6,128,88,45,#80582D
5,7,125,86,44,#7D562C
5,8,122,86,43,#7A562B
5,9,122,86,45,#7A562D
5,10,124,84,43,#7C542B
5,11,112,78,44,#704E2C
5,12,182,140,94,#B68C5E
5,13,249,212,140,#F9D48C
5,14,254,222,147,#FEDE93
5,15,252,220,146,#FCDC92
5,16,255,220,146,#FFDC92
5,17,241,212,145,#F1D491
5,18,205,182,134,#CDB686
5,19,200,178,131,#C8B283
5,20,202,180,132,#CAB484
5,21,201,179,132,#C9B384
5,22,201,179,132,#C9B384
5,23,201,179,132,#C9B384
5,24,204,177,132,#CCB184
5,25,202,179,132,#CAB384
5,26,201,179,132,#C9B384
5,27,201,180,132,#C9B484
5,28,200,178,131,#C8B283
5,29,205,181,132,#CDB584
5,30,240,211,147,#F0D393
5,31,255,222,147,#FFDE93
5,32,254,220,146,#FEDC92
5,33,251,220,145,#FBDC91
5,34,255,228,150,#FFE496
5,35,220,192,129,#DCC081
5,36,151,113,57,#977139
5,37,162,118,57,#A27639
5,38,160,118,58,#A0763A
5,39,159,118,57,#9F7639
5,40,160,117,57,#A07539
5,41,161,116,57,#A17439
5,42,161,116,57,#A17439
5,43,161,116,57,#A17439
5,44,160,116,57,#A07439
5,45,160,115,56,#A07338
5,46,162,117,54,#A27536
5,47,150,110,51,#966E33
6,0,128,89,46,#80592E
6,1,148,105,49,#946931
6,2,166,118,58,#A6763A
6,3,178,131,65,#B28341
6,4,169,124,60,#A97C3C
6,5,154,111,55,#9A6F37
6,6,141,101,50,#8D6532
6,7,133,92,47,#855C2F
6,8,131,92,47,#835C2F
6,9,131,93,47,#835D2F
6,10,124,86,39,#7C5627
6,11,133,95,56,#855F38
6,12,209,165,112,#D1A570
6,13,249,219,144,#F9DB90
6,14,251,223,146,#FBDF92
6,15,251,222,146,#FBDE92
6,16,252,221,146,#FCDD92
6,17,255,224,147,#FFE093
6,18,243,215,145,#F3D791
6,19,207,182,132,#CFB684
6,20,200,177,131,#C8B183
6,21,201,180,132,#C9B484
6,22,201,179,132,#C9B384
6,23,204,177,132,#CCB184
6,24,201,179,132,#C9B384
6,25,201,179,132,#C9B384
6,26,202,180,132,#CAB484
6,27,199,178,131,#C7B283
6,28,203,181,132,#CBB584
6,29,240,212,144,#F0D490
6,30,255,224,146,#FFE092
6,31,254,219,146,#FEDB92
6,32,254,220,146,#FEDC92
6,33,253,221,146,#FDDD92
6,34,253,223,147,#FDDF93
6,35,244,217,147,#F4D993
6,36,161,126,72,#A17E48
6,37,166,118,59,#A6763B
6,38,166,121,60,#A6793C
6,39,165,121,59,#A5793B
6,40,167,120,62,#A7783E
6,41,167,119,61,#A7773D
6,42,168,120,61,#A8783D
6,43,166,120,61,#A6783D
6,44,165,121,61,#A5793D
6,45,165,120,59,#A5783B
6,46,166,121,57,#A67939
6,47,147,106,51,#936A33
7,0,149,105,51,#956933
7,1,174,128,59,#AE803B
7,2,186,138,68,#BA8A44
7,3,187,139,67,#BB8B43
7,4,187,139,65,#BB8B41
7,5,184,135,67,#B88743
7,6,179,132,67,#B38443
7,7,169,125,62,#A97D3E
7,8,160,117,57,#A07539
7,9,165,122,61,#A57A3D
7,10,157,113,57,#9D7139
7,11,158,117,72,#9E7548
7,12,220,176,116,#DCB074
7,13,251,222,147,#FBDE93
7,14,252,221,146,#FCDD92
7,15,253,219,145,#FDDB91
7,16,252,218,145,#FCDA91
7,17,251,217,144,#FBD990
7,18,254,221,146,#FEDD92
7,19,244,214,144,#F4D690
7,20,208,185,133,#D0B985
7,21,201,176,131,#C9B083
7,22,204,178,132,#CCB284
7,23,202,178,132,#CAB284
7,24,201,179,132,#C9B384
7,25,202,180,132,#CAB484
7,26,200,178,131,#C8B283
7,27,203,180,132,#CBB484
7,28,239,210,143,#EFD28F
7,29,254,221,145,#FEDD91
7,30,250,220,145,#FADC91
7,31,254,220,146,#FEDC92
7,32,252,220,146,#FCDC92
7,33,251,222,146,#FBDE92
7,34,251,222,145,#FBDE91
7,35,251,224,149,#FBE095
7,36,180,147,89,#B49359
7,37,168,119,60,#A8773C
7,38,171,123,64,#AB7B40
7,39,170,122,63,#AA7A3F
7,40,171,122,63,#AB7A3F
7,41,171,122,64,#AB7A40
7,42,170,122,64,#AA7A40
7,43,170,122,62,#AA7A3E
7,44,166,122,60,#A67A3C
7,45,162,119,58,#A2773A
7,46,150,106,54,#966A36
7,47,114,77,39,#724D27
8,0,166,120,57,#A67839
8,1,190,143,66,#BE8F42
8,2,188,140,62,#BC8C3E
8,3,172,125,54,#AC7D36
8,4,172,124,55,#AC7C37
8,5,184,137,64,#B88940
8,6,192,144,66,#C09042
8,7,191,143,66,#BF8F42
8,8,190,141,70,#BE8D46
8,9,191,142,70,#BF8E46
8,10,187,141,68,#BB8D44
8,11,179,134,82,#B38652
8,12,218,174,113,#DAAE71
8,13,253,224,147,#FDE093
8,14,251,221,146,#FBDD92
8,15,255,225,149,#FFE195
8,16,255,231,154,#FFE79A
8,17,255,232,152,#FFE898
8,18,255,230,152,#FFE698
8,19,255,223,148,#FFDF94
8,20,245,214,143,#F5D68F
8,21,211,185,133,#D3B985
8,22,199,176,130,#C7B082
8,23,201,180,132,#C9B484
8,24,202,179,132,#CAB384
8,25,200,179,131,#C8B383
8,26,201,180,133,#C9B485
8,27,237,209,144,#EDD190
8,28,255,228,150,#FFE496
8,29,255,231,152,#FFE798
8,30,255,227,147,#FFE393
8,31,251,221,144,#FBDD90
8,32,254,222,146,#FEDE92
8,33,255,222,147,#FFDE93
8,34,252,220,145,#FCDC91
8,35,254,226,150,#FEE296
8,36,191,161,100,#BFA164
8,37,169,121,60,#A9793C
8,38,178,129,67,#B28143
8,39,174,126,64,#AE7E40
8,40,175,127,63,#AF7F3F
8,41,175,127,64,#AF7F40
8,42,176,127,65,#B07F41
8,43,175,128,64,#AF8040
8,44,168,123,62,#A87B3E
8,45,152,108,55,#986C37
8,46,126,86,46,#7E562E
8,47,99,67,35,#634323
9,0,144,101,47,#90652F
9,1,165,120,53,#A57835
9,2,192,144,66,#C09042
9,3,170,125,57,#AA7D39
9,4,146,101,46,#92652E
9,5,154,110,51,#9A6E33
9,6,183,138,65,#B78A41
9,7,192,145,68,#C09144
9,8,182,134,63,#B6863F
9,9,185,138,64,#B98A40
9,10,187,143,68,#BB8F44
9,11,183,137,88,#B78958
9,12,218,175,114,#DAAF72
9,13,252,224,148,#FCE094
9,14,252,224,147,#FCE093
9,15,228,202,132,#E4CA84
9,16,192,168,109,#C0A86D
9,17,184,162,102,#B8A266
9,18,200,175,111,#C8AF6F
9,19,243,212,138,#F3D48A
9,20,255,231,151,#FFE797
9,21,247,219,144,#F7DB90
9,22,213,188,136,#D5BC88
9,23,199,176,131,#C7B083
9,24,201,178,132,#C9B284
9,25,202,178,134,#CAB286
9,26,235,207,143,#EBCF8F
9,27,255,234,152,#FFEA98
9,28,227,201,129,#E3C981
9,29,158,137,86,#9E8956
9,30,146,128,80,#928050
9,31,176,158,103,#B09E67
9,32,222,202,131,#DECA83
9,33,243,215,142,#F3D78E
9,34,252,220,145,#FCDC91
9,35,255,227,152,#FFE398
9,36,197,166,103,#C5A667
9,37,169,122,59,#A97A3B
9,38,180,132,66,#B48442
9,39,177,130,64,#B18240
9,40,172,127,62,#AC7F3E
9,41,167,123,57,#A77B39
9,42,168,121,57,#A87939
9,43,168,123,59,#A87B3B
9,44,168,123,62,#A87B3E
9,45,150,107,56,#966B38
9,46,123,85,44,#7B552C
9,47,104,71,35,#684723
10,0,134,92,45,#865C2D
10,1,135,92,43,#875C2B
10,2,170,127,60,#AA7F3C
10,3,205,162,78,#CDA24E
10,4,192,151,74,#C0974A
10,5,189,149,76,#BD954C
10,6,194,154,77,#C29A4D
10,7,203,159,78,#CB9F4E
10,8,195,150,75,#C3964B
10,9,190,144,69,#BE9045
10,10,184,142,70,#B88E46
10,11,183,142,92,#B78E5C
10,12,216,173,112,#D8AD70
10,13,253,224,148,#FDE094
10,14,226,202,131,#E2CA83
10,15,183,163,112,#B7A370
10,16,166,147,100,#A69364
10,17,153,134,88,#998658
10,18,130,112,73,#827049
10,19,121,105,66,#796942
10,20,192,170,112,#C0AA70
10,21,255,227,149,#FFE395
10,22,250,220,145,#FADC91
10,23,217,189,137,#D9BD89
10,24,199,177,132,#C7B184
10,25,234,206,144,#EACE90
10,26,255,231,152,#FFE798
10,27,196,175,114,#C4AF72
10,28,118,103,65,#766741
10,29,175,156,109,#AF9C6D
10,30,232,205,139,#E8CD8B
10,31,252,221,147,#FCDD93
10,32,247,217,145,#F7D991
10,33,237,210,139,#EDD28B
10,34,250,220,145,#FADC91
10,35,255,227,152,#FFE398
10,36,200,169,105,#C8A969
10,37,173,126,61,#AD7E3D
10,38,185,138,69,#B98A45
10,39,183,136,67,#B78843
10,40,177,134,64,#B18640
10,41,160,117,55,#A07537
10,42,136,92,44,#885C2C
10,43,131,89,43,#83592B
10,44,146,103,52,#926734
10,45,151,108,59,#976C3B
10,46,128,87,46,#80572E
10,47,109,73,36,#6D4924
11,0,152,109,57,#986D39
11,1,148,105,52,#946934
11,2,156,113,56,#9C7138
11,3,198,159,77,#C69F4D
11,4,218,180,89,#DAB459
11,5,216,178,88,#D8B258
11,6,214,178,86,#D6B256
11,7,214,176,86,#D6B056
11,8,212,174,88,#D4AE58
11,9,212,173,84,#D4AD54
11,10,201,164,82,#C9A452
11,11,185,145,93,#B9915D
11,12,215,168,109,#D7A86D
11,13,249,219,145,#F9DB91
11,14,247,220,142,#F7DC8E
11,15,255,225,148,#FFE194
11,16,255,229,153,#FFE599
11,17,255,231,151,#FFE797
11,18,255,231,154,#FFE79A
11,19,233,205,137,#E9CD89
11,20,194,174,117,#C2AE75
11,21,241,212,139,#F1D48B
11,22,255,224,147,#FFE093
11,23,250,217,146,#FAD992
11,24,238,210,143,#EED28F
11,25,255,223,147,#FFDF93
11,26,248,220,145,#F8DC91
11,27,187,165,110,#BBA56E
11,28,238,210,141,#EED28D
11,29,255,233,155,#FFE99B
11,30,255,221,146,#FFDD92
11,31,250,219,144,#FADB90
11,32,252,221,146,#FCDD92
11,33,254,223,147,#FEDF93
11,34,252,220,145,#FCDC91
11,35,255,228,152,#FFE498
11,36,201,171,106,#C9AB6A
11,37,181,135,64,#B58740
11,38,191,145,71,#BF9147
11,39,188,143,70,#BC8F46
11,40,186,144,70,#BA9046
11,41,147,107,51,#936B33
11,42,119,79,39,#774F27
11,43,121,80,41,#795029
11,44,130,87,45,#82572D
11,45,136,94,48,#885E30
11,46,133,91,47,#855B2F
11,47,114,79,39,#724F27
12,0,161,119,58,#A1773A
12,1,174,132,64,#AE8440
12,2,185,145,71,#B99147
12,3,211,174,85,#D3AE55
12,4,221,185,91,#DDB95B
12,5,220,184,91,#DCB85B
12,6,220,183,91,#DCB75B
12,7,220,184,89,#DCB859
12,8,220,183,89,#DCB759
12,9,219,183,88,#DBB758
12,10,216,181,88,#D8B558
12,11,187,146,91,#BB925B
12,12,210,163,105,#D2A369
12,13,249,216,142,#F9D88E
12,14,255,221,147,#FFDD93
12,15,254,221,148,#FEDD94
12,16,255,231,151,#FFE797
12,17,255,230,150,#FFE696
12,18,255,228,149,#FFE495
12,19,255,226,149,#FFE295
12,20,255,228,151,#FFE497
12,21,254,220,146,#FEDC92
12,22,254,220,146,#FEDC92
12,23,255,220,146,#FFDC92
12,24,255,223,146,#FFDF92
12,25,253,221,146,#FDDD92
12,26,252,219,145,#FCDB91
12,27,255,227,151,#FFE397
12,28,255,225,149,#FFE195
12,29,255,224,149,#FFE095
12,30,255,230,147,#FFE693
12,31,255,234,152,#FFEA98
12,32,255,229,151,#FFE597
12,33,250,219,145,#FADB91
12,34,253,220,145,#FDDC91
12,35,253,225,149,#FDE195
12,36,201,171,104,#C9AB68
12,37,190,148,69,#BE9445
12,38,195,154,75,#C39A4B
12,39,194,152,75,#C2984B
12,40,191,150,75,#BF964B
12,41,160,118,61,#A0763D
12,42,125,85,43,#7D552B
12,43,118,78,42,#764E2A
12,44,121,82,42,#79522A
12,45,123,83,40,#7B5328
12,46,123,82,40,#7B5228
12,47,109,74,35,#6D4A23
13,0,143,102,49,#8F6631
13,1,158,111,53,#9E6F35
13,2,164,119,53,#A47735
13,3,177,136,61,#B1883D
13,4,206,169,80,#CEA950
13,5,227,191,93,#E3BF5D
13,6,227,192,94,#E3C05E
13,7,225,190,90,#E1BE5A
13,8,224,189,90,#E0BD5A
13,9,224,188,90,#E0BC5A
13,10,225,191,89,#E1BF59
13,11,188,150,90,#BC965A
13,12,205,156,103,#CD9C67
13,13,246,211,137,#F6D389
13,14,255,228,148,#FFE494
13,15,246,216,140,#F6D88C
13,16,183,163,109,#B7A36D
13,17,176,158,113,#B09E71
13,18,198,175,116,#C6AF74
13,19,246,217,139,#F6D98B
13,20,253,218,142,#FDDA8E
13,21,254,220,146,#FEDC92
13,22,254,220,146,#FEDC92
13,23,254,220,146,#FEDC92
13,24,254,220,146,#FEDC92
13,25,251,222,146,#FBDE92
13,26,253,222,147,#FDDE93
13,27,250,216,144,#FAD890
13,28,244,209,135,#F4D187
13,29,211,185,122,#D3B97A
13,30,170,154,106,#AA9A6A
13,31,163,148,99,#A39463
13,32,215,191,122,#D7BF7A
13,33,255,230,151,#FFE697
13,34,253,219,146,#FDDB92
13,35,250,222,147,#FADE93
13,36,203,173,107,#CBAD6B
13,37,203,163,80,#CBA350
13,38,202,164,82,#CAA452
13,39,200,162,81,#C8A251
13,40,202,162,83,#CAA253
13,41,184,144,75,#B8904B
13,42,145,104,53,#916835
13,43,134,93,48,#865D30
13,44,126,87,44,#7E572C
13,45,120,84,42,#78542A
13,46,118,80,39,#765027
13,47,106,72,34,#6A4822
14,0,138,97,48,#8A6130
14,1,147,102,48,#936630
14,2,153,106,49,#996A31
14,3,152,107,49,#986B31
14,4,166,124,56,#A67C38
14,5,192,152,69,#C09845
14,6,215,178,82,#D7B252
14,7,224,189,88,#E0BD58
14,8,229,193,92,#E5C15C
14,9,229,194,91,#E5C25B
14,10,227,195,87,#E3C357
14,11,197,160,93,#C5A05D
14,12,201,150,101,#C99665
14,13,249,212,138,#F9D48A
14,14,236,211,137,#ECD389
14,15,129,118,90,#81765A
14,16,175,168,147,#AFA893
14,17,207,197,169,#CFC5A9
14,18,195,187,163,#C3BBA3
14,19,180,167,126,#B4A77E
14,20,210,183,119,#D2B777
14,21,248,213,141,#F8D58D
14,22,254,222,147,#FEDE93
14,23,252,221,146,#FCDD92
14,24,254,220,146,#FEDC92
14,25,251,221,145,#FBDD91
14,26,254,225,150,#FEE196
14,27,223,193,125,#DFC17D
14,28,170,151,108,#AA976C
14,29,177,168,142,#B1A88E
14,30,206,196,171,#CEC4AB
14,31,192,185,163,#C0B9A3
14,32,126,119,101,#7E7765
14,33,175,156,108,#AF9C6C
14,34,255,230,151,#FFE697
14,35,247,219,146,#F7DB92
14,36,201,172,106,#C9AC6A
14,37,203,166,84,#CBA654
14,38,210,173,88,#D2AD58
14,39,212,176,90,#D4B05A
14,40,212,175,92,#D4AF5C
14,41,209,170,93,#D1AA5D
14,42,191,150,80,#BF9650
14,43,164,122,61,#A47A3D
14,44,140,97,48,#8C6130
14,45,132,90,46,#845A2E
14,46,128,89,44,#80592C
14,47,115,80,40,#735028
15,0,184,144,79,#B8904F
15,1,172,131,66,#AC8342
15,2,176,134,66,#B08642
15,3,188,145,75,#BC914B
15,4,186,144,74,#BA904A
15,5,189,148,75,#BD944B
15,6,206,167,85,#CEA755
15,7,225,190,94,#E1BE5E
15,8,229,195,96,#E5C360
15,9,202,167,88,#CAA758
15,10,192,156,87,#C09C57
15,11,184,150,88,#B89658
15,12,202,151,101,#CA9765
15,13,240,204,132,#F0CC84
15,14,148,133,99,#948563
15,15,199,190,167,#C7BEA7
15,16,255,255,214,#FFFFD6
15,17,218,208,171,#DAD0AB
15,18,180,163,125,#B4A37D
15,19,223,212,183,#DFD4B7
15,20,195,180,140,#C3B48C
15,21,241,212,138,#F1D48A
15,22,253,224,148,#FDE094
15,23,251,221,146,#FBDD92
15,24,253,220,146,#FDDC92
15,25,253,220,145,#FDDC91
15,26,255,225,148,#FFE194
15,27,207,186,127,#CFBA7F
15,28,208,200,171,#D0C8AB
15,29,243,235,203,#F3EBCB
15,30,165,150,110,#A5966E
15,31,224,210,172,#E0D2AC
15,32,252,246,213,#FCF6D5
15,33,131,126,108,#837E6C
15,34,202,179,120,#CAB378
15,35,254,226,150,#FEE296
15,36,208,185,120,#D0B978
15,37,231,208,133,#E7D085
15,38,206,182,109,#CEB66D
15,39,217,185,102,#D9B966
15,40,225,191,108,#E1BF6C
15,41,203,168,90,#CBA85A
15,42,176,135,66,#B08742
15,43,170,125,61,#AA7D3D
15,44,168,124,64,#A87C40
15,45,168,126,67,#A87E43
15,46,173,133,72,#AD8548
15,47,148,109,57,#946D39
16,0,235,202,109,#EBCA6D
16,1,229,197,102,#E5C566
16,2,228,195,103,#E4C367
16,3,234,201,106,#EAC96A
16,4,235,202,106,#EBCA6A
16,5,234,201,109,#EAC96D
16,6,233,199,106,#E9C76A
16,7,238,205,106,#EECD6A
16,8,200,166,96,#C8A660
16,9,181,136,92,#B5885C
16,10,196,150,101,#C49665
16,11,184,142,98,#B88E62
16,12,194,145,97,#C29161
16,13,223,188,122,#DFBC7A
16,14,174,165,130,#AEA582
16,15,255,244,207,#FFF4CF
16,16,223,212,176,#DFD4B0
16,17,175,174,161,#AFAEA1
16,18,64,51,27,#40331B
16,19,189,174,134,#BDAE86
16,20,249,235,199,#F9EBC7
16,21,240,212,144,#F0D490
16,22,255,222,146,#FFDE92
16,23,251,222,146,#FBDE92
16,24,251,222,146,#FBDE92
16,25,253,220,146,#FDDC92
16,26,254,219,142,#FEDB8E
16,27,228,208,158,#E4D09E
16,28,231,219,183,#E7DBB7
16,29,171,168,150,#ABA896
16,30,81,71,50,#514732
16,31,155,139,99,#9B8B63
16,32,255,248,213,#FFF8D5
16,33,228,217,182,#E4D9B6
16,34,225,200,139,#E1C88B
16,35,251,224,148,#FBE094
16,36,217,198,132,#D9C684
16,37,211,180,115,#D3B473
16,38,209,184,125,#D1B87D
16,39,203,176,106,#CBB06A
16,40,199,162,87,#C7A257
16,41,172,133,67,#AC8543
16,42,156,114,55,#9C7237
16,43,159,117,57,#9F7539
16,44,163,121,60,#A3793C
16,45,164,123,60,#A47B3C
16,46,171,128,64,#AB8040
16,47,158,117,58,#9E753A
17,0,230,201,107,#E6C96B
17,1,234,203,108,#EACB6C
17,2,235,204,110,#EBCC6E
17,3,234,204,110,#EACC6E
17,4,233,203,108,#E9CB6C
17,5,233,202,110,#E9CA6E
17,6,236,205,112,#ECCD70
17,7,226,196,106,#E2C46A
17,8,186,146,97,#BA9261
17,9,196,149,100,#C49564
17,10,181,138,91,#B58A5B
17,11,173,132,91,#AD845B
17,12,195,145,97,#C39161
17,13,228,185,119,#E4B977
17,14,251,228,163,#FBE4A3
17,15,252,242,206,#FCF2CE
17,16,207,193,153,#CFC199
17,17,121,105,71,#796947
17,18,127,115,80,#7F7350
17,19,201,187,145,#C9BB91
17,20,255,241,203,#FFF1CB
17,21,252,221,150,#FCDD96
17,22,254,220,145,#FEDC91
17,23,253,221,146,#FDDD92
17,24,253,221,146,#FDDD92
17,25,254,220,147,#FEDC93
17,26,253,219,141,#FDDB8D
17,27,254,231,173,#FEE7AD
17,28,236,224,190,#ECE0BE
17,29,138,122,85,#8A7A55
17,30,132,117,80,#847550
17,31,201,186,145,#C9BA91
17,32,252,241,206,#FCF1CE
17,33,247,231,184,#F7E7B8
17,34,255,225,149,#FFE195
17,35,244,217,145,#F4D991
17,36,179,156,105,#B39C69
17,37,179,139,90,#B38B5A
17,38,228,197,134,#E4C586
17,39,202,177,113,#CAB171
17,40,174,135,70,#AE8746
17,41,160,118,58,#A0763A
17,42,148,104,50,#946832
17,43,144,101,48,#906530
17,44,144,99,44,#90632C
17,45,149,102,45,#95662D
17,46,154,105,48,#9A6930
17,47,144,99,45,#90632D
18,0,233,202,116,#E9CA74
18,1,234,201,115,#EAC973
18,2,233,202,115,#E9CA73
18,3,231,204,116,#E7CC74
18,4,232,205,117,#E8CD75
18,5,232,205,117,#E8CD75
18,6,239,210,121,#EFD279
18,7,217,192,113,#D9C071
18,8,192,150,100,#C09664
18,9,202,152,102,#CA9866
18,10,166,122,79,#A67A4F
18,11,146,109,74,#926D4A
18,12,184,138,96,#B88A60
18,13,222,178,116,#DEB274
18,14,254,223,146,#FEDF92
18,15,247,228,177,#F7E4B1
18,16,243,233,199,#F3E9C7
18,17,215,201,165,#D7C9A5
18,18,211,198,161,#D3C6A1
18,19,242,229,198,#F2E5C6
18,20,249,228,175,#F9E4AF
18,21,253,219,144,#FDDB90
18,22,254,220,146,#FEDC92
18,23,254,220,146,#FEDC92
18,24,254,220,146,#FEDC92
18,25,254,220,146,#FEDC92
18,26,253,221,145,#FDDD91
18,27,250,221,150,#FADD96
18,28,248,232,192,#F8E8C0
18,29,233,223,187,#E9DFBB
18,30,224,209,173,#E0D1AD
18,31,241,230,196,#F1E6C4
18,32,241,228,187,#F1E4BB
18,33,247,221,154,#F7DD9A
18,34,255,226,147,#FFE293
18,35,218,193,130,#DAC182
18,36,179,141,94,#B38D5E
18,37,197,154,100,#C59A64
18,38,237,210,141,#EDD28D
18,39,223,197,129,#DFC581
18,40,187,150,88,#BB9658
18,41,164,121,61,#A4793D
18,42,153,108,52,#996C34
